,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,mstype
0,39,44,37,21,35,61,43,52,47,44,38,39,53,25,41,43,29,43,36,46,44,48,64,35,51,55,62,56,48,19,58,67,53,68,56,48,28,35,70,56,68,59,45,27,30,37,42,43,18,31,59,46,49,48,39,40,35,55,26,41,40,34,42,35,47,45,46,65,35,52,58,64,56,49,19,58,0
1,37,42,36,21,34,61,44,52,49,45,41,41,55,22,42,45,29,44,36,47,44,47,64,40,51,55,64,58,49,20,60,69,54,67,58,44,29,33,72,54,65,58,49,30,32,36,44,39,18,30,60,46,52,47,41,40,42,55,25,41,41,34,42,35,49,44,46,64,37,52,57,65,57,49,17,58,0
2,38,42,38,22,36,60,42,54,47,44,41,41,55,25,42,43,28,43,36,46,44,50,65,38,48,56,64,58,48,19,60,71,53,69,58,46,32,31,72,61,68,56,47,30,33,37,43,42,17,33,60,46,49,46,44,40,39,54,28,41,41,33,43,35,47,43,46,64,36,52,57,65,56,49,20,56,0
3,37,44,38,19,41,61,44,55,48,45,41,41,56,21,41,46,30,44,36,49,44,49,65,39,49,57,62,58,51,20,60,72,56,66,58,45,31,30,70,59,67,57,44,29,29,36,44,41,18,34,58,46,50,48,44,40,39,57,25,41,40,35,42,34,50,43,46,66,33,52,58,64,60,50,20,58,0
4,35,42,36,21,35,58,41,49,47,45,40,42,52,20,40,46,26,43,34,48,41,50,65,41,51,56,63,57,51,16,59,72,54,69,53,50,31,30,71,57,67,45,56,30,33,36,42,40,14,28,59,44,44,41,45,35,41,56,27,39,40,36,42,32,47,41,45,65,35,53,57,63,61,48,14,58,0
5,38,43,36,23,41,60,43,50,47,44,39,39,52,24,43,46,29,44,36,51,43,50,62,34,49,56,63,57,53,20,57,70,51,66,56,48,31,30,71,51,66,58,51,29,30,37,44,43,18,33,60,45,51,48,44,40,40,55,27,40,41,34,42,34,47,45,46,64,31,49,57,64,55,50,19,59,0
6,39,43,36,22,41,60,42,54,48,45,38,36,55,23,41,45,27,43,35,49,45,49,64,35,51,56,64,58,51,20,60,71,53,65,58,47,31,33,69,51,68,55,48,29,33,36,44,41,18,33,60,45,52,46,43,36,42,55,26,41,41,33,42,34,50,45,46,65,32,53,57,65,56,50,18,57,0
7,38,43,38,24,37,61,40,53,48,48,41,44,54,21,41,45,30,44,36,48,44,46,64,41,51,57,63,60,53,18,60,72,55,68,57,48,32,35,71,53,67,58,50,30,34,36,42,42,18,29,60,45,49,47,43,38,39,56,24,42,40,35,43,32,46,45,46,66,35,54,58,64,60,49,18,58,0
8,38,44,38,20,37,61,44,54,47,47,40,40,57,24,43,44,31,44,36,48,44,47,65,37,48,57,62,60,50,20,60,71,55,68,58,46,27,35,71,59,68,59,53,24,35,36,43,43,16,34,60,46,51,48,42,40,40,57,27,39,40,34,42,33,47,42,47,66,35,54,58,65,59,49,20,59,0
9,37,42,37,22,33,61,44,54,49,44,41,43,54,24,40,46,31,44,36,49,44,49,62,39,51,56,64,59,50,20,58,71,54,68,58,50,30,36,70,60,67,58,54,28,33,34,43,42,18,33,60,45,48,44,44,40,39,57,26,42,40,33,43,35,49,43,46,65,30,54,58,65,60,49,17,58,0
10,36,44,36,22,40,60,43,53,49,47,41,44,56,23,43,45,30,43,36,50,43,48,65,36,51,56,63,58,53,19,52,70,47,64,54,49,31,35,71,56,65,55,52,30,34,30,44,42,18,31,58,46,44,47,42,40,36,56,25,39,39,34,40,34,45,36,46,65,31,52,58,64,58,48,17,51,0
11,39,44,37,22,41,61,44,54,47,46,40,44,54,20,41,46,31,43,35,51,44,50,64,40,50,57,63,61,53,20,58,71,52,68,57,51,31,35,71,60,68,55,51,27,35,34,43,43,15,32,58,46,50,48,44,39,42,52,19,42,40,36,41,34,47,42,47,65,34,53,57,63,60,48,20,56,0
12,39,41,38,22,37,61,43,55,48,46,41,44,56,24,42,46,29,44,36,51,44,50,65,40,51,55,63,61,52,19,60,71,56,66,56,52,32,36,71,61,68,59,55,30,36,35,42,42,17,34,60,44,51,48,44,40,42,55,25,42,41,32,43,35,49,42,47,66,34,53,57,62,61,50,20,59,0
